site,grid,fac,area,s_area,surf_complex,max_height,min_height,height_diff,mean_slope,sd_slope,mean_slope2,sd_slope2,mean_vrm,sd_vrm,mean_curv,sd_curv,max_curv,min_curv,mean_pro_curv,sd_pro_curv,max_pro_curv,min_pro_curv,mean_plan_curv,sd_plan_curv,max_plan_curv,min_plan_curv,d32,,
CC,3,16,9.4208,10.65578954,1.13109179,7.735117866,6.868516859,0.866601007,18.97383241,0.196072119,0.391651376,0.272940572,0.029506431,0.020366772,0.014195887,5.42175415,18.07209788,-22.28428486,-0.184641543,9.887638016,-14.27608003,3.429167688,-0.172867167,2.734066833,-12.39664684,8.67412971,2.096320009,,
CC,3,32,9.4208,10.05523138,1.067343684,7.717647601,6.886598881,0.83104872,16.10029692,0.13535881,0.317264591,0.157330385,0.017054774,0.009476964,0.046126542,1.82331321,4.229092174,-3.444149311,-0.056251804,2.320873155,-2.360607037,1.094786052,0.002832472,1.005764546,-2.293793021,2.561247728,2.096320009,,
CC,4,1,9.8304,15.06224589,1.532210886,7.597885132,6.766762733,0.831122398,30.07160768,0.34721624,0.891614325,1.42499066,0.035071285,0.047285285,-0.399320257,221.9865954,6775.212288,-5729.365349,-2.300498713,2700.52168,-4023.311272,165.7730204,-2.699818971,89.48901837,-3751.034188,2751.901016,2.10441201,,
CC,4,2,9.8304,14.30562001,1.455242921,7.585927963,6.767447233,0.81848073,27.82062662,0.353654573,0.779472562,1.053113238,0.04007009,0.048474152,-0.261975186,93.37843243,1100.601554,-1161.122918,-1.614732587,738.0727184,-644.7550272,67.7542622,-1.876707773,38.79333749,-835.9345505,616.1625099,2.10441201,,
CC,4,4,9.8304,13.35416932,1.358456352,7.53657943,6.772544384,0.764035046,25.39112669,0.348342464,0.652296807,0.753948687,0.042212773,0.046259038,-0.170971402,37.00426335,347.4684618,-484.0977676,-0.996523491,218.8122482,-185.3758761,25.78659998,-1.167494893,16.4846308,-265.2855194,200.9791825,2.10441201,,
CC,4,8,9.8304,12.35615319,1.256932901,7.528404228,6.78278672,0.745617509,22.82623491,0.307695608,0.526907482,0.522145536,0.041069556,0.040472987,-0.098853169,14.55766926,66.95880904,-62.2447161,-0.700677454,36.00458699,-39.92529429,9.633765811,-0.799530622,7.091543514,-43.02850214,41.00928216,2.10441201,,
CC,4,16,9.8304,11.35695961,1.155289673,7.493387224,6.792645155,0.70074207,18.52254468,0.231862043,0.395556835,0.327355292,0.028496444,0.022159147,0.081502731,5.391575242,12.72075722,-21.56652925,-0.491847669,11.20301308,-10.30568115,3.431669105,-0.410344938,2.735184554,-10.36351617,7.141645682,2.10441201,,
CC,4,32,9.8304,10.58681163,1.07694617,7.470769243,6.803003993,0.66776525,14.34183353,0.141173634,0.286798886,0.178798497,0.013204022,0.005909454,0.059603082,1.890476307,4.965672747,-4.32291431,-0.223997111,2.536941844,-2.583202964,1.142261297,-0.164394029,0.958477573,-2.726502216,2.382469783,2.10441201,,
CC,5,1,10.6496,43.79470006,4.112332863,9.827361107,6.908807278,2.918553829,44.52852048,0.420332172,3.17036022,7.755828792,0.094109331,0.132418684,-0.515070611,1622.797492,33982.86819,-29523.32497,20.07958629,16108.07117,-17148.10669,1073.854573,19.53787397,820.9162506,-17799.04123,18891.21794,2.311857534,,
CC,5,2,10.6496,35.150949,3.300682561,9.761815071,6.912973881,2.84884119,43.57111515,0.41389142,2.396817003,4.646472879,0.107161795,0.1300326,-0.197145972,557.8339426,9307.110906,-7304.623127,2.459413674,4214.247817,-4779.939225,358.5658787,2.234721959,279.3794498,-4902.541114,4587.279686,2.311857534,,
